YEAR^dist_code^port_code^I_COMMODITY^CTY_NAME^GEN_VAL_MO^trade_type^PORT_NAME^CTY_CODE^I_COMMODITY_SDESC^I_COMMODITY^PORT^YEAR
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^04^10^ARGENTINA^0^import^"LAREDO, TX"^3570^CEREALS^10^2304^2020
2020^23^01^10^NAFTA^12500^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^01^10^NAFTA^0^import^"BROWNSVILLE, TX"^0020^CEREALS^10^2301^2020
2020^23^04^10^NAFTA^143994^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^127817^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^232169^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^208623^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^417985^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^301075^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^416751^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^540800^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^656188^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^380006^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^337065^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^04^10^NAFTA^405440^import^"LAREDO, TX"^0020^CEREALS^10^2304^2020
2020^23^05^10^NAFTA^35397^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^15096^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^477555^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^18588^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^35750^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^61864^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^9708^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^28420^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^78766^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^88310^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^59618^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^05^10^NAFTA^85503^import^"HILDAGO, TX"^0020^CEREALS^10^2305^2020
2020^23^07^10^NAFTA^2233^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^32534^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
